file,a,t1,t2,annotation,tier,tier_type,participant,annotator,ref,parent_tier,start,end,duration
file_002,a2852,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a595,gloss_RH_S2,NA,NA,NA
file_002,a2853,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a596,gloss_RH_S2,NA,NA,NA
file_002,a2854,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a597,gloss_RH_S2,NA,NA,NA
file_002,a2855,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a598,gloss_RH_S2,NA,NA,NA
file_002,a2856,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a599,gloss_RH_S2,NA,NA,NA
file_002,a2857,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a600,gloss_RH_S2,NA,NA,NA
file_002,a2858,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a601,gloss_RH_S2,NA,NA,NA
file_002,a2859,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a602,gloss_RH_S2,NA,NA,NA
file_002,a2860,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a603,gloss_RH_S2,NA,NA,NA
file_002,a2861,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a604,gloss_RH_S2,NA,NA,NA
file_002,a2862,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a605,gloss_RH_S2,NA,NA,NA
file_002,a2863,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a606,gloss_RH_S2,NA,NA,NA
file_002,a2864,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a607,gloss_RH_S2,NA,NA,NA
file_002,a2865,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a608,gloss_RH_S2,NA,NA,NA
file_002,a2866,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a610,gloss_RH_S2,NA,NA,NA
file_002,a2867,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a611,gloss_RH_S2,NA,NA,NA
file_002,a2868,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a612,gloss_RH_S2,NA,NA,NA
file_002,a2869,NA,NA,two-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a613,gloss_RH_S2,NA,NA,NA
file_002,a2870,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a614,gloss_RH_S2,NA,NA,NA
file_002,a2871,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a615,gloss_RH_S2,NA,NA,NA
file_002,a2872,NA,NA,one-handed,articulator_RH_S2,articulator_RH,Signer_004,NA,a616,gloss_RH_S2,NA,NA,NA
